Time(Iteration),LinUCBCoTheta,CoLinCoTheta,CoLinTheta,,,,,
0,0.7413192731225559,0.7394985325642712,0.9829036663261782,,,,,
1,0.7164966903684716,0.60951268516315,0.8693511485556579,,,,,
2,0.6820121729338169,0.5176692227385342,0.8054817269557377,,,,,
3,0.6612300451518603,0.4905371455819504,0.7891315209480667,,,,,
4,0.6364690831669868,0.4721652213247715,0.7725333378288333,,,,,
5,0.6244983340635853,0.4485989803663061,0.7556434724553156,,,,,
6,0.595740672784497,0.43954963120480023,0.7456819532287587,,,,,
7,0.5844885218790409,0.4332302200824638,0.7368680464106873,,,,,
8,0.5492648464992881,0.41298022221859626,0.7255437646035509,,,,,
9,0.5253216139297202,0.39987208422176057,0.7140259351195046,,,,,
10,0.5049275043831922,0.39533280997661746,0.7099159258753085,,,,,
11,0.4931926981115254,0.3775172539727076,0.6980465384494151,,,,,
12,0.47898650589883607,0.36703175262407883,0.6917969711831686,,,,,
13,0.4645050323023461,0.3635059772317469,0.6881809225424143,,,,,
14,0.4463596699273181,0.35797484561445475,0.681299795542643,,,,,
15,0.43186446243493404,0.3502965883119985,0.6716433415939618,,,,,
16,0.4244890169387757,0.34351525543635575,0.668716718220254,,,,,
17,0.4115441688995457,0.3375987276437935,0.6619975538885644,,,,,
18,0.4104306159937229,0.3335782288533566,0.6584855325000606,,,,,
19,0.3891789843458233,0.3299670533062514,0.655000311896049,,,,,
20,0.3818911249640208,0.32608807519922234,0.6503553929244787,,,,,
21,0.3771963438111613,0.32160469382369816,0.64777267963764,,,,,
22,0.37207152935615573,0.32077338867822996,0.6454496067787951,,,,,
23,0.34524551054249825,0.3151054980372746,0.6397066513308609,,,,,
24,0.31663339242148747,0.3047510224326496,0.6310371131430875,,,,,
25,0.3053627705278917,0.29686380641028676,0.6255769668618683,,,,,
26,0.3001357392188711,0.29516607825769986,0.6249387641151406,,,,,
27,0.2815612879742308,0.2895302263472034,0.6238955108147887,,,,,
28,0.27476618683386583,0.28123757007063127,0.6195888482629457,,,,,
29,0.2663165787568372,0.2772040850619623,0.6146354087034791,,,,,
30,0.26287218444950755,0.2755596772668122,0.6111706699855557,,,,,
31,0.2601638196530662,0.27228210953627385,0.6085291780906064,,,,,
32,0.25616795981926355,0.26738540174709446,0.6040655254808299,,,,,
33,0.25261837362088124,0.2649866678084263,0.6022563799074401,,,,,
34,0.2445339574683268,0.26298575075285396,0.6002148633566747,,,,,
35,0.23869988161696448,0.2586085568575155,0.5982357456000187,,,,,
36,0.2336658238857167,0.25728153207090465,0.5961268016752679,,,,,
37,0.2321870712864466,0.2557642812333264,0.5946817570691273,,,,,
38,0.22920657453022067,0.25507123616809413,0.5929585395137135,,,,,
39,0.22711167534392068,0.25401849599248044,0.5913257822385376,,,,,
40,0.20736908704048748,0.2513243140996821,0.5879317303851035,,,,,
41,0.2020026916635039,0.24364135784702096,0.5827087506990761,,,,,
42,0.19848371937389225,0.23968871572698153,0.5795205746149471,,,,,
43,0.18092998192419169,0.23723509965138626,0.5784973397190595,,,,,
44,0.17833974573778624,0.23648575709614414,0.5773033924237417,,,,,
45,0.17787688538224672,0.23592741758508776,0.5759513349068287,,,,,
